split,seed,model_key,model,model_group,best_epoch,stopped_epoch,stop_reason,best_valid_score,early_stopping_metric,auc,ap,pos_mean_score,neg_mean_score,mrr,hits@1,hits@3,hits@5,hits@10
valid,42,gcn,GCN,gnn_model,495,500,max_epoch,0.4615002656945735,mrr,0.8950120264192111,0.9016148622868102,0.8428730964660645,-5.782519817352295,0.4615002656945735,0.3007202881152461,0.5468187274909964,0.6626650660264105,0.7965186074429772
valid,43,gcn,GCN,gnn_model,500,500,max_epoch,0.46609284965281716,mrr,0.8984661091327287,0.90556295322838,1.112156629562378,-5.862679958343506,0.46609284965281716,0.31392557022809126,0.5384153661464586,0.6470588235294118,0.7887154861944778
valid,44,gcn,GCN,gnn_model,490,500,max_epoch,0.45031872301903975,mrr,0.8968289596751066,0.9030964385965529,1.3028491735458374,-5.284329891204834,0.45031872301903975,0.3013205282112845,0.5186074429771909,0.6248499399759904,0.7677070828331333
valid,42,graphsage,GraphSAGE,gnn_model,495,500,max_epoch,0.49192356874124127,mrr,0.894451057734018,0.9042672748164269,0.18578453361988068,-8.874587059020996,0.49192356874124127,0.3469387755102041,0.5690276110444178,0.6650660264105642,0.7833133253301321
valid,43,graphsage,GraphSAGE,gnn_model,500,500,max_epoch,0.4691064112511591,mrr,0.8767410925955016,0.8919573202167251,0.1502429097890854,-7.519380569458008,0.4691064112511591,0.32232893157262904,0.5546218487394958,0.6440576230492197,0.7563025210084033
valid,44,graphsage,GraphSAGE,gnn_model,500,500,max_epoch,0.49382237338836743,mrr,0.8929169506938428,0.9032121282828073,0.5754538774490356,-7.951930999755859,0.49382237338836743,0.34813925570228094,0.5738295318127251,0.6752701080432173,0.7827130852340937
valid,42,rgcn,R-GCN,gnn_model,495,500,max_epoch,0.5745177339132476,mrr,0.9276980900403377,0.9320764517170179,0.4169052243232727,-11.815574645996094,0.5745177339132476,0.44357743097238894,0.6536614645858343,0.7262905162064826,0.8151260504201681
valid,43,rgcn,R-GCN,gnn_model,490,500,max_epoch,0.585477400948015,mrr,0.9280598193659215,0.9319244121362691,0.28078344464302063,-12.250554084777832,0.585477400948015,0.4549819927971189,0.6668667466986795,0.7352941176470589,0.8157262905162065
valid,44,rgcn,R-GCN,gnn_model,495,500,max_epoch,0.5767122282829861,mrr,0.9239406446852451,0.9278286209157242,0.6240783929824829,-12.212835311889648,0.5767122282829861,0.4495798319327731,0.6524609843937575,0.723889555822329,0.8013205282112845
valid,42,gatv2,GATv2,gnn_model,490,500,max_epoch,0.6324180827856282,mrr,0.9323090580770124,0.941666319229419,1.6989667415618896,-10.375025749206543,0.6324180827856282,0.5108043217286915,0.7016806722689075,0.7851140456182473,0.8553421368547419
valid,43,gatv2,GATv2,gnn_model,495,500,max_epoch,0.6307325922214092,mrr,0.9245016133704382,0.9352334931833136,2.2331902980804443,-10.314935684204102,0.6307325922214092,0.5102040816326531,0.7064825930372148,0.7869147659063626,0.8457382953181273
valid,44,gatv2,GATv2,gnn_model,490,500,max_epoch,0.6078854407755325,mrr,0.923496409368069,0.9317572754492799,1.731225848197937,-9.505865097045898,0.6078854407755325,0.4849939975990396,0.6824729891956782,0.7569027611044418,0.8343337334933973
valid,42,relation_attention_gat,RA-GAT,gnn_model,500,500,max_epoch,0.6344513851262131,mrr,0.9192017743471939,0.9350627709452747,1.3356411457061768,-10.908397674560547,0.6344513851262131,0.517406962785114,0.7136854741896759,0.7755102040816326,0.8469387755102041
valid,43,relation_attention_gat,RA-GAT,gnn_model,475,500,max_epoch,0.631557795781153,mrr,0.9230633429842525,0.9379423549155633,1.8370424509048462,-10.439929962158203,0.631557795781153,0.5120048019207684,0.7166866746698679,0.7833133253301321,0.8361344537815126
valid,44,relation_attention_gat,RA-GAT,gnn_model,495,500,max_epoch,0.6259990282544659,mrr,0.9261070574688458,0.9401285022760458,2.1785500049591064,-10.1109037399292,0.6259990282544659,0.503001200480192,0.7076830732292917,0.7779111644657863,0.8517406962785115
